order_id,line_number,product_id,qty,unit_price,extended_price
O4200000001,1,13,1,23.98,23.98
O4200000001,2,173,3,10.99,32.97
O4200000002,1,3,4,25.0,100.0
O4200000002,2,176,1,19.06,19.06
O4200000003,1,74,1,8.32,8.32
O4200000003,2,132,1,5.44,5.44
O4200000003,3,48,1,24.39,24.39
O4200000003,4,30,1,16.22,16.22
O4200000003,5,19,3,29.59,88.77
O4200000003,6,10,1,27.09,27.09
O4200000004,1,83,1,21.87,21.87
O4200000004,2,122,5,4.25,21.25
O4200000004,3,84,1,12.8,12.8
O4200000004,4,60,1,17.31,17.31
O4200000004,5,146,1,16.48,16.48
O4200000004,6,34,1,5.92,5.92
O4200000004,7,173,1,10.66,10.66
O4200000005,1,10,1,24.38,24.38
O4200000005,2,183,1,1.09,1.09
O4200000005,3,43,1,5.93,5.93
O4200000005,4,98,3,7.38,22.14
O4200000005,5,122,1,3.94,3.94
O4200000006,1,153,1,9.83,9.83
O4200000006,2,177,1,13.29,13.29
O4200000007,1,159,1,4.01,4.01
O4200000007,2,170,4,12.9,51.6
O4200000008,1,132,1,5.44,5.44
O4200000008,2,87,1,15.83,15.83
O4200000008,3,127,4,23.61,94.44
O4200000009,1,82,1,18.84,18.84
O4200000009,2,143,1,7.49,7.49
O4200000010,1,14,1,16.79,16.79
O4200000011,1,105,5,11.56,57.8
O4200000011,2,181,4,25.13,100.52
O4200000012,1,92,1,7.65,7.65
O4200000012,2,43,1,6.33,6.33
O4200000013,1,78,5,9.56,47.8
O4200000013,2,129,1,25.66,25.66
O4200000015,1,180,1,17.99,17.99
O4200000017,1,133,1,15.48,15.48
O4200000017,2,163,1,10.89,10.89
O4200000018,1,121,1,2.15,2.15
O4200000018,2,140,3,4.32,12.96
O4200000019,1,40,4,18.85,75.4
O4200000020,1,132,3,5.44,16.32
O4200000020,2,149,1,0.97,0.97
O4200000020,3,162,3,11.48,34.44
O4200000020,4,100,1,2.2,2.2
O4200000021,1,123,1,23.51,23.51
O4200000021,2,1,2,8.16,16.32
O4200000021,3,116,1,12.67,12.67
O4200000022,1,134,1,2.9,2.9
O4200000022,2,162,1,10.56,10.56
O4200000022,3,73,2,15.22,30.44
O4200000022,4,187,1,8.32,8.32
O4200000023,1,98,1,8.2,8.2
O4200000024,1,141,2,12.14,24.28
O4200000024,2,48,1,24.39,24.39
O4200000025,1,20,1,8.81,8.81
O4200000026,1,70,1,4.78,4.78
O4200000026,2,171,1,16.0,16.0
O4200000027,1,98,1,7.71,7.71
O4200000028,1,54,5,18.87,94.35
O4200000028,2,93,1,14.78,14.78
O4200000029,1,32,4,17.42,69.68
O4200000029,2,145,3,2.2,6.6
O4200000029,3,94,1,3.34,3.34
O4200000029,4,68,1,7.93,7.93
O4200000029,5,75,1,7.43,7.43
O4200000029,6,185,1,25.33,25.33
O4200000030,1,158,4,16.09,64.36
O4200000030,2,133,1,15.65,15.65
O4200000030,3,56,2,4.91,9.82
O4200000031,1,179,1,22.27,22.27
O4200000031,2,185,1,25.33,25.33
O4200000031,3,176,1,19.45,19.45
O4200000031,4,46,1,26.86,26.86
O4200000031,5,124,1,1.96,1.96
O4200000032,1,70,1,4.39,4.39
O4200000033,1,117,1,19.55,19.55
O4200000034,1,59,1,8.9,8.9
O4200000034,2,18,1,7.71,7.71
O4200000034,3,61,1,24.37,24.37
O4200000035,1,104,1,23.02,23.02
O4200000036,1,161,4,5.99,23.96
O4200000036,2,65,1,18.79,18.79
O4200000037,1,29,1,10.88,10.88
O4200000037,2,130,1,11.49,11.49
O4200000037,3,177,5,13.43,67.15
O4200000037,4,52,1,7.55,7.55
O4200000038,1,127,1,23.61,23.61
O4200000039,1,37,1,6.55,6.55
O4200000040,1,33,1,12.37,12.37
O4200000041,1,74,1,8.32,8.32
O4200000041,2,188,4,17.43,69.72
O4200000042,1,65,1,16.35,16.35
O4200000042,2,54,1,17.28,17.28
O4200000042,3,172,1,21.83,21.83
O4200000045,1,76,1,11.98,11.98
O4200000045,2,31,1,15.56,15.56
O4200000046,1,123,1,23.51,23.51
