order_id,store_id,customer_id,order_ts,payment_type,discount_pct
O4200000001,3,1579,2025-08-16T00:00:00,card,0.0
O4200000002,10,843,2025-08-16T00:04:00,card,0.02
O4200000003,7,668,2025-08-16T00:25:00,card,0.0
O4200000004,9,198,2025-08-16T00:28:00,card,0.03
O4200000005,10,115,2025-08-16T00:30:00,mobile,0.1
O4200000006,10,1403,2025-08-16T00:31:00,card,0.06
O4200000007,5,276,2025-08-16T00:39:00,card,0.01
O4200000008,8,1217,2025-08-16T00:40:00,card,0.0
O4200000009,7,404,2025-08-16T01:01:00,card,0.04
O4200000010,10,1154,2025-08-16T01:03:00,card,0.0
O4200000011,9,836,2025-08-16T01:05:00,card,0.08
O4200000012,2,1863,2025-08-16T01:05:00,card,0.04
O4200000013,3,1934,2025-08-16T01:10:00,card,0.0
O4200000015,10,929,2025-08-16T01:12:00,card,0.0
O4200000017,4,229,2025-08-16T01:20:00,card,0.08
O4200000018,1,1395,2025-08-16T01:32:00,card,0.05
O4200000019,6,518,2025-08-16T01:36:00,card,0.0
O4200000020,9,1932,2025-08-16T01:37:00,mobile,0.0
O4200000021,1,646,2025-08-16T01:40:00,card,0.0
O4200000022,1,1981,2025-08-16T01:41:00,card,0.08
O4200000023,2,249,2025-08-16T01:43:00,card,0.0
O4200000024,1,794,2025-08-16T01:46:00,card,0.0
O4200000025,1,1495,2025-08-16T01:46:00,cash,0.09
O4200000026,10,1481,2025-08-16T01:49:00,card,0.03
O4200000027,1,1247,2025-08-16T01:54:00,card,0.06
O4200000028,8,1647,2025-08-16T01:54:00,card,0.05
O4200000029,8,398,2025-08-16T02:02:00,card,0.0
O4200000030,1,936,2025-08-16T02:03:00,mobile,0.07
O4200000031,6,1764,2025-08-16T02:04:00,card,0.0
O4200000032,6,1382,2025-08-16T02:11:00,card,0.11
O4200000033,8,1220,2025-08-16T02:14:00,card,0.0
O4200000034,10,32,2025-08-16T02:16:00,card,0.0
O4200000035,1,167,2025-08-16T02:18:00,mobile,0.0
O4200000036,8,1820,2025-08-16T02:24:00,mobile,0.0
O4200000037,8,55,2025-08-16T02:40:00,card,0.05
O4200000038,2,102,2025-08-16T02:41:00,card,0.0
O4200000039,10,1491,2025-08-16T02:54:00,cash,0.09
O4200000040,7,1740,2025-08-16T02:54:00,card,0.0
O4200000041,5,690,2025-08-16T02:58:00,mobile,0.0
O4200000042,7,709,2025-08-16T03:04:00,card,0.13
O4200000045,7,1025,2025-08-16T03:08:00,card,0.03
O4200000046,10,316,2025-08-16T03:18:00,cash,0.0
O4200000047,3,383,2025-08-16T03:20:00,card,0.0
O4200000048,8,1323,2025-08-16T03:22:00,cash,0.1
O4200000049,1,1158,2025-08-16T03:24:00,card,0.04
O4200000050,6,962,2025-08-16T03:37:00,card,0.0
O4200000051,5,998,2025-08-16T03:39:00,card,0.05
O4200000052,7,697,2025-08-16T03:39:00,card,0.0
O4200000053,7,1628,2025-08-16T03:44:00,card,0.06
O4200000054,1,1604,2025-08-16T03:45:00,card,0.02
O4200000056,8,567,2025-08-16T03:55:00,card,0.09
O4200000057,3,845,2025-08-16T03:59:00,card,0.0
O4200000058,4,55,2025-08-16T03:59:00,mobile,0.08
O4200000059,3,724,2025-08-16T04:02:00,card,0.04
O4200000060,4,66,2025-08-16T04:08:00,mobile,0.0
O4200000061,9,413,2025-08-16T04:11:00,card,0.05
O4200000062,7,397,2025-08-16T04:12:00,cash,0.09
O4200000063,3,545,2025-08-16T04:16:00,card,0.0
O4200000064,3,764,2025-08-16T04:16:00,cash,0.07
O4200000065,2,1693,2025-08-16T04:24:00,mobile,0.04
O4200000066,7,1732,2025-08-16T04:25:00,mobile,0.0
O4200000067,3,1301,2025-08-16T04:31:00,card,0.05
O4200000068,2,199,2025-08-16T04:32:00,cash,0.0
